job_id,learner,task,measure,batch_nr,errors,warnings,ce,bacc,logloss,auc,mcc,svm.cost,svm.degree,svm.gamma,svm.kernel,runtime_learners,timestamp,y_trafo,acq_log_ei,.already_evaluated,x_domain_svm.cost,x_domain_svm.gamma,x_domain_svm.kernel
4,svm,blood-transfusion-service-center,ce,366,0,0,0.205873873873874,0.615815273477812,0.494408804872315,0.693257653938769,0.331590296792325,0.0560927809951393,,-0.931525881500073,radial,214.073000000008,2024-07-11T01:40:58.690356Z,-6.90875477931521,1.34745269665079e-14,FALSE,1.05769581325437,0.393952127253159,radial
11,svm,blood-transfusion-service-center,bacc,284,0,0,0.207225225225225,0.616675266597867,0.494006565608227,0.699082674005275,0.325597598995463,-0.262287392518718,,-0.76722059866093,radial,252.829999999998,2024-07-11T01:01:21.782088Z,-6.90875477931494,0.000160103684074609,FALSE,0.769289903771921,0.464301757515949,radial
18,svm,blood-transfusion-service-center,logloss,327,0,0,0.219225225225225,0.568214654282766,0.475226643718244,0.749403738103429,0.215312869723758,-4.46793206724845,,-4.81471251903483,sigmoid,147.271000000004,2024-07-11T01:24:52.030017Z,-6.90875477931516,6.60153305413759e-10,FALSE,0.0114710126230917,0.00810955308497452,sigmoid
25,svm,blood-transfusion-service-center,auc,41,0,0,0.22990990990991,0.526496388028896,0.506695899273213,0.752081183350533,0.161665338066481,-7.82969372419379,,,linear,361.106999999999,2024-07-10T22:24:39.944329Z,-6.90875477931512,,,0.000397747282005578,,linear
32,svm,blood-transfusion-service-center,mcc,213,0,0,0.212558558558559,0.611429308565532,0.502603486065977,0.685695447769751,0.313275141261363,-6.36007203075777,,-0.526842381670185,radial,270.282000000003,2024-07-11T00:31:49.424312Z,-6.9087547793153,9.90432732604402e-06,FALSE,0.00172924214874868,0.590466496969275,radial
39,svm,balance-scale,ce,134,0,0,0,1,0.0684330925959478,1,1,8.21685071290281,,-3.7305263200909,radial,282.035,2024-07-10T23:29:02.912244Z,-6.90875477931522,0.000110679322866651,FALSE,3702.82274899835,0.0239802112477494,radial
46,svm,balance-scale,bacc,113,0,0,0,1,0.0681982520982001,1,1,9.13099372983067,,-4.04582601337543,radial,295.316999999999,2024-07-10T23:17:38.120484Z,-6.9087547793153,0.000191280260691909,FALSE,9237.19668773402,0.0174952473773235,radial
53,svm,balance-scale,logloss,373,0,0,0.00481310803891449,0.996551724137931,0.0611305144317506,1,0.991740233447101,8.22175468714488,,-4.80431149731441,radial,149.293000000007,2024-07-11T01:21:40.901921Z,-6.90875477931522,2.15480730010257e-05,FALSE,3721.0258937784,0.00819434089832881,radial
60,svm,balance-scale,auc,67,0,0,0.00158730158730159,0.998850574712644,0.0683009192775376,1,0.997291580859853,8.51864648560519,,-3.74487545913662,radial,229.219,2024-07-10T22:38:43.822464Z,-6.90875477931533,,,5007.27175366358,0.0236385728326336,radial
67,svm,balance-scale,mcc,120,0,0,0,1,0.0676562929381876,1,1,8.55756809406026,,-4.05400171842899,radial,354.174999999998,2024-07-10T23:46:28.951896Z,-6.90875477931515,0.000145438058425888,FALSE,5206.00525028359,0.0173527945147088,radial
