job_id,learner,task,measure,batch_nr,errors,warnings,ce,bacc,logloss,auc,mcc,glmnet.alpha,glmnet.lambda,x_domain_glmnet.alpha,x_domain_glmnet.lambda,runtime_learners,timestamp,y_trafo,acq_log_ei,.already_evaluated
1,glmnet,blood-transfusion-service-center,ce,1,0,0,0.237945945945946,0.5,0.548711476862306,0.5,0,0.910707257539034,6.27176484155548,0.910707257539034,529.410880214862,282.266,2024-07-10T21:51:04.614620Z,0,,
1,glmnet,blood-transfusion-service-center,ce,2,0,0,0.237945945945946,0.5,0.548711476862306,0.5,0,0.251453528348357,2.57480638154626,0.251453528348357,13.1287749392845,328.786,2024-07-10T21:51:39.524307Z,0,,
1,glmnet,blood-transfusion-service-center,ce,3,0,0,0.229945945945946,0.535999312005504,0.478433172933621,0.757006077284715,0.16931602768608,0.607539434498176,-4.42535116081301,0.607539434498176,0.0119700071652351,365.118,2024-07-10T21:52:18.465861Z,-0.910768418855966,,
1,glmnet,blood-transfusion-service-center,ce,4,0,0,0.237945945945946,0.5,0.548711476862306,0.5,0,0.701098755239509,0.0989856012954755,0.701098755239509,1.10405040254891,352.523,2024-07-10T21:53:03.662814Z,0,,
1,glmnet,blood-transfusion-service-center,ce,5,0,0,0.228576576576577,0.546706226350189,0.47706339820027,0.754036234376792,0.183319939735615,0.0738990328507498,-6.10305932466312,0.0738990328507498,0.00223601654428371,373.354,2024-07-10T21:53:46.159543Z,-1.20433459249707,,
1,glmnet,blood-transfusion-service-center,ce,6,0,0,0.237945945945946,0.5,0.548711476862306,0.5,0,0.490114370579831,7.96209688256533,0.490114370579831,2870.08487809454,318.467,2024-07-10T21:54:19.398531Z,0,,
1,glmnet,blood-transfusion-service-center,ce,7,0,0,0.237945945945946,0.5,0.548711476862306,0.5,0,0.674745148294605,4.51449809824559,0.674745148294605,91.3317149690127,336.275,2024-07-10T21:55:02.782419Z,0,,
1,glmnet,blood-transfusion-service-center,ce,8,0,0,0.237945945945946,0.5,0.548711476862306,0.5,0,0.844784109303728,5.62100445980512,0.844784109303728,276.166642255359,346.218,2024-07-10T21:55:45.058404Z,0,,
1,glmnet,blood-transfusion-service-center,ce,9,0,0,0.237945945945946,0.5,0.543481914781121,0.698727210182319,0,0.210367942079902,-0.797319695655828,0.210367942079902,0.450534917931363,287.667,2024-07-10T21:56:21.951472Z,0,,
1,glmnet,blood-transfusion-service-center,ce,10,0,0,0.22590990990991,0.534829721362229,0.481876410075423,0.757338607957803,0.180657900940063,0.40146981026046,-3.59064086826423,0.40146981026046,0.0275806491954094,371.591,2024-07-10T21:57:05.345586Z,-2.29630656036845,,
1,glmnet,blood-transfusion-service-center,ce,11,0,0,0.228576576576577,0.546706226350189,0.477196458681677,0.753732370141039,0.183319939735615,0.576125537799671,-7.80331703628449,0.576125537799671,0.000408378124798854,352.958,2024-07-10T21:57:42.045271Z,-1.20433459249707,,
1,glmnet,blood-transfusion-service-center,ce,12,0,0,0.237945945945946,0.5,0.548711476862306,0.5,0,0.434784555346705,1.15847527605759,0.434784555346705,3.18507321454306,454.257,2024-07-10T21:58:30.170761Z,0,,
1,glmnet,blood-transfusion-service-center,ce,13,0,0,0.237945945945946,0.5,0.538347561909515,0.701679853227841,0,0.687576361782849,-1.94298295179348,0.687576361782849,0.143275926526724,385.637,2024-07-10T21:59:17.097811Z,0,,
